id,nombre,apellido,genero,fecha_nacimiento,ocupacion,tipo_cuenta
RI-004-1018,Emmanuel,Akpobari,M,2002-02-14,Mechanic,Current
FC-005-1022,Habiba,Zainab,M,1987-06-28,Factory Worker,Current
FC-005-1024,Abdulkadir,Sadiq,F,2003-09-28,Trader,Current
FC-006-1007,Adetokunbo,Adeniyi,M,1978-08-20,Human Resources Specialist,Current
FC-006-1036,Qudus,Ademola,F,1985-10-02,Trader,Current
FC-006-1037,Folasade,Abimbola,F,1991-08-30,Marketing Executive,Savings
LA-005-1151,Deborah,Okereke,F,1982-11-09,Software Developer,Savings
RI-001-1037,Onyinye,Okon,M,1991-06-01,Electrician,Savings
RI-003-1033,Chukwuemeka,Nnamani,M,1990-04-23,Engineer,Savings
EN-009-1001,Obinna,Eze,M,1997-02-28,Manager,Current
EN-007-1053,Chidinma,Nwankwo,M,1997-02-20,Construction Worker,Current
RI-008-1040,Ijeoma,Brown,F,1982-05-17,Health Professional,Savings
RI-008-1077,Maxwell,Akobo,M,2002-10-06,Student,Savings
FC-006-1013,Sadiya,Fadila,F,1987-11-10,Health Professional,Savings
FC-005-1013,Fati,Zainab,M,1990-07-14,Accountant,Current
EN-009-1053,Obiageli,Uzoma,F,1984-01-27,Manager,Savings
KN-010-1045,Sadiya,Musa,F,1986-04-23,Human Resources Specialist,Current
FC-004-1028,Ruqayya,Rukayat,M,1990-03-06,Marketing Executive,Current
FC-006-1028,Jideofor,Aikhomu,F,1986-07-24,Trader,Current
FC-003-1030,Benedict,Agboola,F,1985-07-11,Marketing Executive,Savings
FC-004-1038,Jideofor,Oni,M,1989-03-21,Trader,Savings
KN-005-1178,Aliyu,Rukayya,M,1997-11-09,Marketing Executive,Current
FC-004-1013,Habiba,Danladi,F,1996-03-21,Health Professional,Savings
FC-006-1008,Usman,Sadiq,M,1993-12-22,Human Resources Specialist,Current
FC-005-1042,Adesanmi,Adebayo,M,1982-08-21,Human Resources Specialist,Savings
KN-005-1009,Ibrahim,Ali,M,1992-06-09,Factory Worker,Current
KN-005-1121,Rabi,Danjuma,M,1993-07-08,Marketing Executive,Current
RI-007-1041,Olufunke,Ezeani,M,1990-11-11,Factory Worker,Current
FC-001-1024,Ruqayya,Sadiq,M,2001-04-15,Lawyer,Current
EN-008-1046,Amarachi,Ojukwu,M,2001-11-09,Mechanic,Savings
EN-008-1080,Ikenna,Madu,F,1998-12-28,Trader,Current
KN-005-1172,Aliyu,Fati,F,1989-12-18,Engineer,Current
FC-006-1035,Chris,Oluwafemi,F,1979-08-11,Health Professional,Savings
EN-009-1032,Uzoma,Orji,M,1986-06-17,Engineer,Savings
LA-006-1249,Edith,Akande,M,1990-09-11,Factory Worker,Current
LA-011-1064,Gbolahan,Ogunnaike,M,1988-02-28,Software Developer,Savings
EN-006-1021,Chinweuba,Okeke,M,2002-03-29,Manager,Current
LA-003-1154,Damilola,Okoye,M,1992-03-08,Farmer,Savings
FC-006-1034,Christian,Nwachukwu,F,1987-12-15,Health Professional,Savings
LA-015-1006,Edwin,Adebayo,M,1999-12-08,Plumber,Savings
EN-001-1031,Uchenna,Eze,M,2006-09-19,Student,Savings
FC-001-1030,Oluwatobi,Nwosu,M,2002-08-19,Lawyer,Savings
FC-005-1017,Nasiru,Nafisa,M,1997-03-20,Farmer,Current
FC-006-1033,Oluwadamilare,Yusuf,F,1990-12-10,Trader,Current
KN-004-1040,Musa,Musa,M,1996-08-02,Health Professional,Current
LA-006-1050,Ashimiyu,Obi,F,1995-01-13,Trader,Savings
EN-001-1043,Ebuka,Nnaji,F,1981-05-06,Data Analyst,Savings
FC-006-1029,Azeez,Odeyemi,F,1986-02-28,Trader,Current
KN-002-1217,Hafsatu,Zainab,F,2003-06-14,Trader,Savings
EN-009-1079,Chukwuka,Ekwueme,M,2003-10-06,Factory Worker,Savings
RI-005-1090,Chioma,Nwachukwu,F,1991-03-19,Human Resources Specialist,Current
FC-004-1008,Adebimpe,Adebayo,F,1987-01-15,Lawyer,Savings
LA-003-1120,Iretiola,Nwosu,F,1995-12-09,Lawyer,Savings
KN-002-1198,Nafisa,Aisha,F,1990-11-05,Lawyer,Current
RI-003-1022,Chidinma,Pepple,M,1996-11-07,Software Developer,Savings
FC-002-1007,Nneka,Nwachukwu,F,2000-05-04,Health Professional,Savings
EN-007-1065,Chinelo,Uzor,F,1992-08-17,Manager,Current
EN-008-1073,Ifeanyi,Okereke,F,1986-05-11,Data Analyst,Savings
LA-002-1143,Ekele,Adekunle,M,1990-12-07,Farmer,Current
FC-006-1027,Oluwasegun,Adeyemo,M,1996-07-21,Electrician,Current
LA-014-1126,Adetokunbo,Onwuka,F,1993-10-19,Manager,Current
LA-012-1074,Amina,Nkechi,F,2001-07-08,Data Analyst,Savings
RI-010-1081,Vincent,Amaechi,M,1995-04-24,Welder,Current
EN-003-1066,Chukwuemeka,Okorie,M,2001-08-20,Accountant,Current
EN-003-1072,Kelechi,Okafor,M,1988-09-29,Trader,Current
FC-006-1011,Ahmed,Firdausi,M,1997-12-19,Electrician,Savings
LA-009-1064,Chinedu,Balogun,F,1989-09-30,Data Analyst,Current
FC-004-1030,Angela,Oluwatosin,F,1990-08-12,Trader,Current
FC-005-1041,Christiana,Afolabi,M,1997-10-07,Electrician,Current
EN-009-1057,Ugochukwu,Chukwu,F,1998-12-21,Health Professional,Current
KN-008-1163,Bashir,Shehu,F,1980-06-12,Human Resources Specialist,Current
EN-008-1059,Nneka,Nwankwo,F,2001-11-08,Health Professional,Savings
FC-006-1030,Oluwagbemiga,Oluwatomi,F,2000-09-13,Trader,Current
FC-005-1030,Daniel,Okoro,M,1992-08-28,Engineer,Savings
RI-008-1038,Chidimma,Eke,F,1987-05-06,Trader,Savings
FC-002-1006,Musa,Ibrahim,M,1996-07-22,Electrician,Savings
FC-004-1027,Rukayya,Maryam,M,1980-03-05,Plumber,Current
EN-006-1094,Chinedu,Okolie,F,1980-01-09,Accountant,Current
FC-002-1038,Oluwadamilola,Uzoma,M,1985-06-07,Human Resources Specialist,Current
KN-008-1182,Salisu,Nasiru,M,2006-08-25,Student,Savings
EN-009-1045,Obumneme,Okereke,F,1986-09-19,Data Analyst,Savings
